date	open	high	low	close	volume
2017-07-14	125.6700000	126.3500000	125.0000000	125.0000000	21.555.180
2017-07-17	125.3900000	125.7000000	124.3000000	125.1400000	23.810.200
2017-07-18	125.0900000	125.7500000	124.4900000	124.4900000	39.544.710
2017-07-19	118.4400000	120.1100000	118.1100000	120.1100000	42.498.820
2017-07-20	120.2900000	121.2700000	119.8100000	120.6000000	21.786.790
2017-07-21	120.2100000	120.2600000	118.6500000	118.9500000	20.841.430
2017-07-24	118.5400000	119.4000000	117.9200000	119.1700000	22.726.670
2017-07-25	119.1600000	119.7000000	117.6700000	118.4000000	23.673.000
2017-07-26	118.3500000	119.1200000	118.2500000	119.0000000	22.310.500
2017-07-27	119.1200000	119.3500000	117.8300000	118.6800000	25.737.570
2017-07-28	118.1600000	118.1800000	115.4100000	116.9000000	34.566.970
2017-07-31	116.7100000	118.1800000	115.0800000	116.1000000	40.277.050
2017-08-01	116.8300000	118.6500000	116.8200000	117.9900000	28.881.020
2017-08-02	118.0000000	119.0900000	117.9000000	119.0900000	20.782.720
2017-08-03	119.1300000	119.9900000	118.8500000	119.5800000	22.369.700
2017-08-04	119.3400000	119.8800000	118.6800000	119.4500000	17.244.330
2017-08-07	119.3200000	120.3800000	118.9000000	119.5000000	21.791.100
2017-08-08	119.4700000	119.8900000	119.2500000	119.6700000	14.891.840
2017-08-09	119.3900000	119.4600000	118.0200000	118.6800000	20.245.120
2017-08-10	118.7100000	119.4000000	118.0300000	118.0500000	18.090.560
2017-08-11	117.5600000	117.8500000	116.3400000	116.9300000	24.804.530
2017-08-14	117.1800000	117.9900000	117.1500000	117.4000000	13.554.100
2017-08-15	117.1200000	117.7000000	116.5100000	117.5900000	16.686.400
2017-08-16	117.8000000	117.8700000	116.6300000	116.7500000	19.124.720
2017-08-17	116.7200000	116.9500000	115.9200000	116.2200000	16.600.490
2017-08-18	115.8500000	116.0900000	115.1500000	116.0000000	22.256.230
2017-08-21	116.1000000	116.4700000	115.3900000	115.9200000	16.461.430
2017-08-22	115.9900000	116.7300000	115.6800000	116.0000000	16.010.450
2017-08-23	116.0900000	116.2700000	115.0700000	115.7500000	22.758.830
2017-08-24	115.7700000	116.8900000	115.4200000	116.5600000	18.564.950
2017-08-25	116.8200000	118.0000000	116.5600000	117.8500000	21.083.020
2017-08-28	117.7900000	118.7500000	117.5400000	118.7500000	16.187.340
2017-08-29	118.5000000	118.6300000	116.5000000	118.3000000	27.588.290
2017-08-30	118.4000000	118.9000000	116.8800000	118.2000000	31.962.280
